"Device","Site","Status","IP Address","Availability","CPU/Memory","CPU AVG","Memory AVG","Tags","Vendor","Type","Version","Description"
"dcmcrwdhb005-cca","Milford EDC","Good","10.204.12.163","Good","Good","3","11","","Cisco","Router","17.3.3","Cisco IOS Software [Amsterdam], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.3, RELEASE SOFTWARE (fc7)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Thu 04-Mar-21 12:36 b"
"dcmcrwdhb006-cc","Milford EDC","Good","10.204.12.164","Good","Good","5","6","","Cisco","Router","17.3.3","Cisco IOS Software [Amsterdam], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.3, RELEASE SOFTWARE (fc7)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Thu 04-Mar-21 12:36 b"
"dcmcrwdhb007-lte","Milford EDC","Good","10.204.12.165","Good","Good","2","11","","Cisco","Router","17.3.3","Cisco IOS Software [Amsterdam], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.3, RELEASE SOFTWARE (fc7)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Thu 04-Mar-21 12:36 b"
"dcmcrwdhb008-corp","Milford EDC","Good","10.204.12.166","Good","Good","7","7","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"dcmcrwdhb009-qa","Milford EDC","Good","10.204.12.167","Good","Good","5","7","","Cisco","Router","17.6.4","Cisco IOS Software [Bengaluru], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.4, RELEASE SOFTWARE (fc1)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2022 by Cisco Systems, Inc.
Compiled Sun 14-Aug-22 08:52 b"
"dcmcrwdhb010-corp2","Milford EDC","Good","10.204.12.168","Good","Good","1","7","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1"
"dcmeptrsw023","Milford EDC","Good","172.20.214.150","Good","Good","4","43","CNE_NA, EDC","Cisco","Router","9.3(3)","Cisco NX-OS(tm) nxos.9.3.3.bin, Software (nxos), Version 9.3(3), RELEASE SOFTWARE Copyright (c) 2002-2019 by Cisco Systems, Inc. Compiled 12/22/2019 2:00:00"
"dcmeptrsw024","Milford EDC","Good","172.20.214.151","Good","Good","4","43","CNE_NA, EDC","Cisco","Router","9.3(3)","Cisco NX-OS(tm) nxos.9.3.3.bin, Software (nxos), Version 9.3(3), RELEASE SOFTWARE Copyright (c) 2002-2019 by Cisco Systems, Inc. Compiled 12/22/2019 2:00:00"
"dcmexwcrt001","Milford EDC","Good","172.20.209.18","Good","Good","1","5","CNE_NA, EDC","Cisco","Router","17.3.4a","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.4a, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Tue 20-Jul-21 05:02"
"dcmexwcrt002","Milford EDC","Good","172.20.209.19","Good","Good","1","5","CNE_NA, EDC","Cisco","Router","17.3.4a","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.4a, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Tue 20-Jul-21 05:02"
"dcmexwcrt006","Milford EDC","Good","10.123.207.67","Good","Good","1","7","","Cisco","Router","17.3.2","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.2, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2020 by Cisco Systems, Inc.
Compiled Sat 31-Oct-20 13:20 "
"dcmexwcrt007","Milford EDC","Good","10.123.207.68","Good","Good","1","7","","Cisco","Router","17.3.2","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.2, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2020 by Cisco Systems, Inc.
Compiled Sat 31-Oct-20 13:20 "
"dcmgpwdrt001","Milford EDC","Good","10.209.1.126","Good","Good","20","6","","Cisco","Router","17.6.1a","Cisco IOS Software [Bengaluru], c8000aes Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.1a, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Sat 21-Aug-21 03:27"
"dcmgpwdrt002","Milford EDC","Good","10.209.1.127","Good","Good","23","6","CNE_NA, EDC","Cisco","Router","17.6.1a","Cisco IOS Software [Bengaluru], c8000aes Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.1a, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Sat 21-Aug-21 03:27"
"dcminlasw003","Milford EDC","Good","172.20.214.97","Good","Good","5","","CNE_NA, EDC","Cisco","Router","7.3(5)N1(1)","Cisco NX-OS(tm) n5000, Software (n5000-uk9), Version 7.3(5)N1(1), RELEASE SOFTWARE Copyright (c) 2002-2012, 2016-2017 by Cisco Systems, Inc. Device Manager Version 6.0(2)N1(1),Compiled 2/11/2019 2:00:00"
"dcminlasw004","Milford EDC","Good","172.20.214.98","Good","Good","5","","CNE_NA, EDC","Cisco","Router","7.3(5)N1(1)","Cisco NX-OS(tm) n5000, Software (n5000-uk9), Version 7.3(5)N1(1), RELEASE SOFTWARE Copyright (c) 2002-2012, 2016-2017 by Cisco Systems, Inc. Device Manager Version 6.0(2)N1(1),Compiled 2/11/2019 2:00:00"
"dcminsciv001","Unspecified","Good","10.29.128.17","Good","Good","14","37","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"dcminsciv002","Unspecified","Good","10.29.128.18","Good","Good","14","37","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"dcminwcrt001","Milford EDC","Good","10.205.0.73","Good","Good","3","12","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:32 by "
"dcminwcrt002","Milford EDC","Good","10.205.0.74","Good","Good","3","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:32 by "
"dcminwcrt003","Milford EDC","Good","172.20.215.187","Good","Good","2","49","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:32 by "
"dcminwcrt004","Milford EDC","Good","172.20.215.188","Good","Good","2","47","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:32 by "
"dcminwcrt005","Milford EDC","Good","172.20.205.74","Good","Good","2","57","CNE_NA, EDC","Cisco","Router","17.3.4a","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.4a, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Tue 20-Jul-21 05:02"
"dcminwcrt006","Milford EDC","Good","172.20.205.75","Good","Good","2","66","CNE_NA, EDC","Cisco","Router","17.3.4a","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.4a, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Tue 20-Jul-21 05:02"
"dctcrwcrt001","Danbury VSSM","Good","10.193.5.30","Good","Good","6","3","Corp, cEdge","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"dctcrwcrt002","Danbury VSSM","Good","10.193.5.31","Good","Good","6","3","Corp, cEdge, GMNA","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1986-2"
"dcwcrwcrt001","Warren EDC","Good","10.205.10.13","Good","Good","3","13","CNE_NA, EDC","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:32 by "
"dcwcrwcrt002","Warren EDC","Good","10.205.10.14","Good","Good","3","12","CNE_NA, EDC","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:32 by "
"dcwcrwdhb001","Warren EDC","Good","10.205.10.54","Good","Good","44","66","CNE_NA, EDC","Viptela","Router","19.2.31","Viptela SNMP agent"
"dcwcrwdhb002","Warren EDC","Good","10.205.10.55","Good","Good","38","66","CNE_NA, EDC","Viptela","Router","19.2.31","Viptela SNMP agent"
"dcwcrwdhb003","Warren EDC","Good","10.205.12.161","Good","Good","74","62","","Viptela","Router","19.2.31","Viptela SNMP agent"
"dcwcrwdhb004","Warren EDC","Good","10.205.12.162","Good","Good","74","62","","Viptela","Router","19.2.31","Viptela SNMP agent"
"dcwcrwdhb005-cca","Warren EDC","Good","10.205.12.163","Good","Good","15","11","","Cisco","Router","17.3.3","Cisco IOS Software [Amsterdam], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.3, RELEASE SOFTWARE (fc7)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Thu 04-Mar-21 12:36 b"
"dcwcrwdhb006-cc","Warren EDC","Good","10.205.12.164","Good","Good","5","6","","Cisco","Router","17.3.3","Cisco IOS Software [Amsterdam], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.3, RELEASE SOFTWARE (fc7)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Thu 04-Mar-21 12:36 b"
"dcwcrwdhb007-lte","Warren EDC","Good","10.205.12.165","Good","Good","2","11","","Cisco","Router","17.3.3","Cisco IOS Software [Amsterdam], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.3, RELEASE SOFTWARE (fc7)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Thu 04-Mar-21 12:36 b"
"dcwcrwdhb008-corp","Warren EDC","Good","10.205.12.166","Good","Good","8","7","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 19"
"dcwcrwdhb009-qa","Warren EDC","Good","10.205.12.167","Good","Good","5","7","","Cisco","Router","17.6.4","Cisco IOS Software [Bengaluru], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.4, RELEASE SOFTWARE (fc1)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2022 by Cisco Systems, Inc.
Compiled Sun 14-Aug-22 08:52 b"
"dcwcrwdhb010-corp2","Warren EDC","Good","10.205.12.168","Good","Good","1","7","","Cisco","Router","17.6.3","Cisco IOS Software [Bengaluru], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.3, CUST-SPECIAL:V176_3_CSCWB21195
This software is supported for a limited time under special agreement with Cisco Systems, Inc. CSCWB21195
Copyright (c) 1"
"dcweptrsw021","Warren EDC","Good","172.20.210.84","Good","Good","4","43","CNE_NA, EDC","Cisco","Router","9.3(3)","Cisco NX-OS(tm) nxos.9.3.3.bin, Software (nxos), Version 9.3(3), RELEASE SOFTWARE Copyright (c) 2002-2019 by Cisco Systems, Inc. Compiled 12/22/2019 2:00:00"
"dcweptrsw022","Warren EDC","Good","172.20.210.85","Good","Good","4","43","CNE_NA, EDC","Cisco","Router","9.3(3)","Cisco NX-OS(tm) nxos.9.3.3.bin, Software (nxos), Version 9.3(3), RELEASE SOFTWARE Copyright (c) 2002-2019 by Cisco Systems, Inc. Compiled 12/22/2019 2:00:00"
"dcwexwcrt001","Warren EDC","Good","10.205.10.9","Good","Good","1","7","CNE_NA, EDC","Cisco","Router","17.3.4a","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.4a, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Tue 20-Jul-21 05:02"
"dcwexwcrt002","Warren EDC","Good","10.205.10.10","Good","Good","1","7","CNE_NA, EDC","Cisco","Router","17.3.4a","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.4a, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Tue 20-Jul-21 05:02"
"dcwexwcrt006","Warren EDC","Good","10.122.207.67","Good","Good","1","7","","Cisco","Router","17.3.2","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.2, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2020 by Cisco Systems, Inc.
Compiled Sat 31-Oct-20 13:20 "
"dcwexwcrt007","Warren EDC","Good","10.122.207.68","Good","Good","1","7","","Cisco","Router","17.3.2","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.2, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2020 by Cisco Systems, Inc.
Compiled Sat 31-Oct-20 13:20 "
"dcwgpwdrt001","Warren EDC","Good","10.209.1.26","Good","Good","38","6","CNE_NA, EDC","Cisco","Router","17.6.1a","Cisco IOS Software [Bengaluru], c8000aes Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.1a, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Sat 21-Aug-21 03:27"
"dcwgpwdrt002","Warren EDC","Good","10.209.1.27","Good","Good","41","6","CNE_NA, EDC","Cisco","Router","17.6.1a","Cisco IOS Software [Bengaluru], c8000aes Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.6.1a, RELEASE SOFTWARE (fc2)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Sat 21-Aug-21 03:27"
"dcwinlasw003","Warren EDC","Good","172.20.210.97","Good","Good","5","","CNE_NA, EDC","Cisco","Router","7.3(3)N1(1)","Cisco NX-OS(tm) n5000, Software (n5000-uk9), Version 7.3(3)N1(1), RELEASE SOFTWARE Copyright (c) 2002-2012, 2016-2017 by Cisco Systems, Inc. Device Manager Version 6.0(2)N1(1),Compiled 4/27/2018 9:00:00"
"dcwinlasw004","Warren EDC","Good","172.20.210.98","Good","Good","4","","CNE_NA, EDC","Cisco","Router","7.3(3)N1(1)","Cisco NX-OS(tm) n5000, Software (n5000-uk9), Version 7.3(3)N1(1), RELEASE SOFTWARE Copyright (c) 2002-2012, 2016-2017 by Cisco Systems, Inc. Device Manager Version 6.0(2)N1(1),Compiled 4/27/2018 9:00:00"
"dcwinsciv001","Unspecified","Good","10.28.128.17","Good","Good","14","37","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"dcwinsciv002","Unspecified","Good","10.28.128.18","Good","Good","14","31","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"dcwinsciv011","Unspecified","Good","10.28.128.26","Good","Good","15","37","","Cisco","Router","9.8(4)39","Cisco Adaptive Security Appliance Version 9.8(4)39"
"dcwinsciv023","Unspecified","Good","10.28.128.28","Good","Good","74","22","","Cisco","Router","9.12(4)47","Cisco Adaptive Security Appliance Version 9.12(4)47"
"dcwinsciv024","Unspecified","Good","10.28.128.29","Good","Good","0","18","","Cisco","Router","9.12(4)47","Cisco Adaptive Security Appliance Version 9.12(4)47"
"dcwinwcrt001","Warren EDC","Good","10.205.10.39","Good","Good","2","13","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:32 by "
"dcwinwcrt002","Warren EDC","Good","10.205.10.40","Good","Good","4","32","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:32 by "
"dcwinwcrt003","Warren EDC","Good","172.20.210.187","Good","Good","2","39","CNE_NA, EDC","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:32 by "
"dcwinwcrt004","Warren EDC","Good","172.20.210.188","Good","Good","2","37","CNE_NA, EDC","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ASR1000 Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:32 by "
"dcwinwcrt005","Warren EDC","Good","172.20.205.10","Good","Good","2","59","CNE_NA, EDC","Cisco","Router","17.3.4a","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.4a, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Tue 20-Jul-21 05:02"
"dcwinwcrt006","Warren EDC","Good","172.20.205.11","Good","Good","2","69","CNE_NA, EDC","Cisco","Router","17.3.4a","Cisco IOS Software [Amsterdam], c8000aep Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 17.3.4a, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2021 by Cisco Systems, Inc.
Compiled Tue 20-Jul-21 05:02"
"dgrcrwcrt001","GMCH Grand Rapids","Good","10.193.8.158","Good","Good","1","5","","Cisco","Router","16.6.4","Cisco IOS Software [Everest], ISR Software (X86_64_LINUX_IOSD-UNIVERSALK9-M), Version 16.6.4, RELEASE SOFTWARE (fc3)
Technical Support: http://www.cisco.com/techsupport
Copyright (c) 1986-2018 by Cisco Systems, Inc.
Compiled Sun 08-Jul-18 04:33 by mcpr"
